id;"""building""";address;число_жителей
498;house;Сосновая улица 34;25
499;house;Сосновая улица 22;20
500;yes;Сосновая улица 4;9
501;yes;Сосновая улица 18;28
502;house;Сосновая улица 31;28
503;house;Сосновая улица 53;7
504;apartments;Сосновая улица 6;22
505;house;Сосновая улица 29;30
506;house;Сосновая улица 36;17
507;house;Сосновая улица 44;14
508;yes;Сосновая улица 17;9
509;apartments;Сосновая улица 20;20
510;house;Сосновая улица 59/1;20
511;yes;Сосновая улица 19;23
512;house;Сосновая улица 30;24
513;yes;Сосновая улица 44935;22
514;yes;Сосновая улица 13;20
515;house;Сосновая улица 57;25
516;house;Сосновая улица 33;13
517;house;Сосновая улица 28;30
518;house;Сосновая улица 55;10
519;house;Сосновая улица 35;9
520;house;Сосновая улица 32;16
521;house;Сосновая улица 40;27
522;house;Сосновая улица 1;28
523;house;Сосновая улица 63;20
524;house;Сосновая улица 38;16
525;house;Сосновая улица 3;9
526;house;Сосновая улица 44949;12
527;apartments;Сосновая улица 2;2
528;yes;Сосновая улица 21;3
529;house;Сосновая улица 58;29
530;house;Сосновая улица 54;13
531;house;Сосновая улица 65/3;23
532;yes;Сосновая улица 15;24
533;house;Сосновая улица 5;24
534;yes;Сосновая улица 8;30
535;house;Сосновая улица 65/5;21
536;house;Сосновая улица 39;10
537;yes;Сосновая улица 11;4
538;house;Сосновая улица 50;9
539;house;Сосновая улица 46;13
540;house;Сосновая улица 52;5
541;house;Сосновая улица 43;13
542;house;Сосновая улица 7;14
543;house;Сосновая улица 27;4
544;house;Сосновая улица 48;16
545;house;Сосновая улица 65А;12
546;house;Сосновая улица 66/1;22
547;house;Сосновая улица 62;13
548;house;Сосновая улица 75;14
549;house;Сосновая улица 60;4
550;house;Сосновая улица 70;18
551;house;Сосновая улица 77;2
552;house;Сосновая улица 72;7
553;house;Сосновая улица 56/1;5
554;house;Сосновая улица 69;17
555;house;Сосновая улица 58/1;6
556;house;Сосновая улица 64А;25
557;house;Сосновая улица 79/2;17
558;house;Сосновая улица 66;13
559;house;Сосновая улица 79;20
560;house;Сосновая улица 64;21
561;house;Сосновая улица 65;16
562;house;Сосновая улица 41;29
563;house;Сосновая улица 42;17
564;house;Сосновая улица 59;16
565;house;Сосновая улица 24;16
566;house;улица Бекетова 47;30
567;house;улица Бекетова 49;5
568;apartments;улица Бекетова 18;14
569;yes;улица Бекетова 1;24
570;house;улица Бекетова 51;19
571;yes;улица Бекетова 17;6
572;house;улица Бекетова 27;4
573;yes;улица Бекетова 21;2
574;house;улица Бекетова 29;30
575;house;улица Бекетова 55;18
576;yes;улица Бекетова 19;24
577;house;улица Бекетова 53;17
578;yes;улица Бекетова 44937;11
579;house;улица Бекетова 35;20
580;house;улица Бекетова 35/2;13
581;yes;улица Бекетова 23;19
582;yes;улица Бекетова 13;5
583;yes;улица Бекетова 15;6
584;house;улица Бекетова 35/1;1
585;house;улица Бекетова 41;23
586;house;улица Бекетова 31;0
587;house;улица Бекетова 43;17
588;yes;улица Бекетова 25;30
589;house;улица Бекетова 39;11
590;house;улица Бекетова 44982;26
591;house;улица Бекетова 87;26
592;house;улица Бекетова 67;2
593;house;улица Бекетова 74;26
594;house;улица Бекетова 73;26
595;house;улица Бекетова 75;12
596;house;улица Бекетова 77;9
597;house;улица Бекетова 61;10
598;house;улица Бекетова 57;8
599;house;улица Бекетова 59;18
600;house;улица Бекетова 71/1;18
601;house;улица Бекетова 69;21
602;house;улица Бекетова 65А;22
603;house;улица Бекетова 65;6
604;house;улица Бекетова 81;8
605;house;улица Бекетова 79;27
606;yes;улица Бекетова 26;19
607;house;улица Бекетова 44932;7
608;yes;улица Бекетова 6;10
609;yes;улица Бекетова 3;3
610;house;улица Бекетова 44951;17
611;house;улица Бекетова 33;12
612;house;улица Бекетова 83;7
613;house;улица Бекетова 85;15
614;house;улица Бекетова 89;0
615;house;улица Бекетова 37;29
616;yes;улица Билибина 33;30
617;yes;улица Билибина 35;8
618;yes;улица Билибина 26;11
619;yes;улица Билибина 28;10
620;yes;улица Билибина 19 к3;24
621;yes;улица Билибина 1 с1;7
622;residential;улица Билибина 42 к2;3
623;yes;улица Билибина 1 с2;7
624;yes;улица Билибина 33/1;20
625;yes;улица Билибина 39;16
626;residential;улица Билибина 42 к3;12
627;yes;улица Билибина 22;0
628;yes;улица Билибина 19 к2;18
629;apartments;улица Билибина 46 к2;25
630;residential;улица Билибина 12;28
631;yes;улица Билибина 10Б;10
632;yes;улица Билибина 21 к1;12
633;apartments;улица Билибина 44;24
634;residential;улица Билибина 42 к1;20
635;residential;улица Билибина 44938;26
636;residential;улица Билибина 46 к4Г;29
637;yes;улица Билибина 50;24
638;apartments;улица Билибина 48 к2;5
639;yes;улица Билибина 39 к1;3
640;yes;улица Билибина 1А;27
641;yes;улица Билибина 18;15
642;yes;улица Билибина 35 к1;20
643;residential;улица Билибина 36 к2;28
644;yes;улица Билибина 41;7
645;yes;улица Билибина 32;20
646;apartments;улица Билибина 46;29
647;residential;улица Билибина 42 к5;19
648;yes;улица Билибина 41/1;29
649;yes;улица Билибина 2/1 к2;16
650;yes;улица Билибина 31;14
651;yes;улица Билибина 16;23
652;yes;улица Билибина 20;2
653;yes;улица Билибина 34;20
654;yes;улица Билибина 37 к1;2
655;yes;улица Билибина 45;0
656;apartments;улица Билибина 48 к1;2
657;yes;улица Билибина 1 с3;12
658;yes;улица Билибина 31 к1;24
659;yes;улица Билибина 30;25
660;residential;улица Билибина 42 к6;19
661;yes;улица Билибина 43;24
662;apartments;улица Билибина 46 к5;22
663;yes;улица Билибина 43 к1;15
664;yes;улица Билибина 24;21
665;yes;улица Билибина 40 к1;28
666;yes;улица Билибина 29;15
667;yes;улица Билибина 44928;24
668;apartments;улица Билибина 48;13
669;yes;улица Билибина 36;1
670;residential;улица Билибина 42 к7;0
671;yes;улица Билибина 26 к1;27
672;yes;улица Билибина 27;28
673;apartments;улица Билибина 46 к3;28
674;residential;улица Билибина 46 к4;4
675;yes;улица Билибина 45 к1;14
676;yes;улица Билибина 5;16
677;yes;улица Билибина 47;2
678;yes;улица Билибина 19 к1;12
679;yes;улица Билибина 10А;29
680;yes;улица Билибина 47/7;14
681;yes;улица Билибина 19 к4А;2
682;residential;улица Билибина 36 к3;7
683;yes;улица Билибина 6/2а;4
684;yes;улица Билибина 6 к1;23
685;yes;улица Билибина 44936;2
686;yes;улица Билибина 6;2
687;yes;улица Билибина 44951;17
688;yes;улица Билибина 42 к5А;10
689;yes;улица Билибина 4/8а;4
690;yes;улица Билибина 25;0
691;yes;улица Билибина 36 к1;3
692;house;улица Билибина 43466;28
693;yes;улица Билибина 40 к1;11
694;yes;улица Билибина 2;19
695;yes;улица Билибина 6 к2;28
696;yes;улица Билибина 1;3
697;yes;улица Билибина 44927;18
698;yes;улица Билибина 1 к1;4
699;yes;улица Билибина 9А;17
700;yes;улица Билибина 2/1 к 1;29
701;yes;улица Билибина 9нс;16
702;yes;улица Билибина 2/2а;22
703;yes;улица Билибина 47/1;12
704;residential;улица Билибина 13;13
705;yes;улица Билибина 44А;20
706;yes;улица Билибина 44949;15
707;yes;улица Билибина 32А;23
708;yes;улица Билибина 2/1 к2;7
709;yes;улица Билибина 2/1 к1;18
710;yes;улица Билибина 47/7а;26
711;yes;улица Билибина 59;16
712;yes;улица Билибина 23А;4
713;yes;улица Билибина 44953;10
714;apartments;улица Билибина 19;23
715;yes;улица Билибина 45002;6
716;yes;улица Билибина 44974;10
717;yes;улица Билибина 44943;9
718;yes;улица Билибина 45028;14
719;apartments;улица Билибина 45157;26
720;apartments;улица Борисовка 1-й квартал 37;19
721;apartments;улица Борисовка 1-й квартал 52;29
722;apartments;улица Борисовка 1-й квартал 11;13
723;apartments;улица Борисовка 1-й квартал 55;20
724;apartments;улица Борисовка 1-й квартал 32;5
725;apartments;улица Борисовка 1-й квартал 44933;18
726;apartments;улица Борисовка 1-й квартал 8;29
727;apartments;улица Борисовка 1-й квартал 31;11
728;apartments;улица Борисовка 1-й квартал 10;0
729;apartments;улица Борисовка 1-й квартал 39;19
730;apartments;улица Борисовка 1-й квартал 35;4
731;apartments;улица Борисовка 1-й квартал 34;16
732;apartments;улица Борисовка 1-й квартал 50;13
733;apartments;улица Борисовка 1-й квартал 38;29
734;apartments;улица Борисовка 1-й квартал 7;14
735;apartments;улица Борисовка 1-й квартал 42;6
736;apartments;улица Борисовка 1-й квартал 9;3
737;yes;улица Борисовка 1-й квартал 6;23
738;apartments;улица Борисовка 1-й квартал 43;9
739;apartments;улица Борисовка 1-й квартал 2;29
740;yes;улица Борисовка 1-й квартал 4;20
741;apartments;улица Борисовка 1-й квартал 1;18
742;apartments;улица Борисовка 1-й квартал 40;0
743;apartments;улица Борисовка 1-й квартал 47;22
744;apartments;улица Борисовка 1-й квартал 12;2
745;apartments;улица Борисовка 1-й квартал 41;30
746;apartments;улица Борисовка 1-й квартал 15;6
747;apartments;улица Борисовка 1-й квартал 23;6
748;apartments;улица Борисовка 1-й квартал 49;9
749;apartments;улица Борисовка 1-й квартал 14;2
750;apartments;улица Борисовка 1-й квартал 44;11
751;apartments;улица Борисовка 1-й квартал 18;3
752;apartments;улица Борисовка 1-й квартал 46;22
753;apartments;улица Борисовка 1-й квартал 58;26
754;apartments;улица Борисовка 1-й квартал 5;26
755;apartments;улица Борисовка 1-й квартал 45;18
756;apartments;улица Борисовка 1-й квартал 19;22
757;apartments;улица Борисовка 1-й квартал 48;2
758;apartments;улица Борисовка 1-й квартал 60;26
759;apartments;улица Борисовка 1-й квартал 25;25
760;apartments;улица Борисовка 1-й квартал 59;11
761;apartments;улица Борисовка 1-й квартал 17;21
762;apartments;улица Борисовка 1-й квартал 22;10
763;apartments;улица Борисовка 1-й квартал 21;2
764;apartments;улица Борисовка 1-й квартал 51;22
765;apartments;улица Борисовка 1-й квартал 30;15
766;apartments;улица Борисовка 1-й квартал 33;13
767;apartments;улица Борисовка 1-й квартал 16;25
768;apartments;улица Борисовка 1-й квартал 24;14
769;apartments;улица Борисовка 1-й квартал 20;0
770;apartments;улица Борисовка 1-й квартал 57;22
771;apartments;улица Борисовка 1-й квартал 61;6
772;apartments;улица Борисовка 1-й квартал 27;25
773;apartments;улица Борисовка 1-й квартал 57;8
774;apartments;улица Борисовка 1-й квартал 29;6
775;apartments;улица Борисовка 1-й квартал 41/1;25
776;apartments;улица Борисовка 1-й квартал 54;11
777;apartments;улица Борисовка 1-й квартал 28;29
778;apartments;улица Борисовка 1-й квартал 36;13
779;apartments;улица Борисовка 1-й квартал 56;20
780;apartments;улица Борисовка 1-й квартал 26;0
781;apartments;улица Борисовка 1-й квартал 13;12
782;yes;улица Борисовка 1-й квартал 41/2;6
783;yes;улица Борисовка 1-й квартал 41 к1А;14
784;yes;улица Борисовка 1-й квартал 1А;15
785;yes;улица Борисовка 3-й квартал 3В;24
786;yes;улица Борисовка 3-й квартал 4А;12
787;yes;улица Борисовка 3-й квартал 7А;24
788;residential;улица Борисовка 3-й квартал 1В;27
789;yes;улица Борисовка 3-й квартал 5А;18
790;residential;улица Борисовка 3-й квартал 5В;21
791;yes;улица Борисовка 3-й квартал 3А;21
792;residential;улица Борисовка 3-й квартал 1Б;4
793;yes;улица Борисовка 3-й квартал 2А;0
794;residential;улица Борисовка 3-й квартал 4В;11
795;residential;улица Борисовка 3-й квартал 2В;1
796;yes;улица Борисовка 3-й квартал 1А;1
797;yes;улица Борисовка 3-й квартал 6А;27
798;residential;улица Борисовка 3-й квартал 1Д;28
799;yes;улица Борисовка 3-й квартал 8А;6
800;yes;улица Борисовка 3-й квартал 7К;18
801;yes;улица Борисовка 3-й квартал 5К;28
802;yes;улица Борисовка 3-й квартал 9К;19
803;residential;улица Борисовка 3-й квартал 2Б;25
804;residential;улица Борисовка 3-й квартал 3Б;12
805;residential;улица Борисовка 3-й квартал 4Б;25
806;residential;улица Борисовка 3-й квартал 2Д;4
807;residential;улица Борисовка 3-й квартал 3Д;1
808;house;улица Винокурова 4;24
809;house;улица Винокурова 10;21
810;house;улица Винокурова 20Б;21
811;house;улица Винокурова 12;0
812;house;улица Винокурова 20А;6
813;house;улица Винокурова 2;5
814;house;улица Винокурова 44946;14
815;house;улица Винокурова 8;0
816;house;улица Винокурова 14;24
817;house;улица Винокурова 16;7
818;house;улица Винокурова 20;26
819;house;улица Винокурова 6;27
820;house;улица Винокурова 9;5
821;house;улица Винокурова 11;14
822;house;улица Винокурова 7;9
823;house;улица Винокурова 3;25
824;house;улица Винокурова 5;26
825;house;улица Винокурова 1;23
826;house;улица Винокурова 15;11
827;apartments;улица Винокурова 21;8
828;residential;улица Винокурова 25;7
829;house;улица Винокурова 13;6
830;house;улица Винокурова 17;25
831;yes;улица Винокурова 24;27
832;yes;улица Винокурова 44950;29
833;yes;улица Винокурова 34;10
834;yes;улица Винокурова 31;6
835;house;улица Винокурова 51;23
836;yes;улица Винокурова 36;3
837;house;улица Винокурова 39/4;17
838;yes;улица Винокурова 33;20
839;house;улица Винокурова 53;7
840;house;улица Винокурова 49;3
841;house;улица Винокурова 22;19
842;house;улица Винокурова 41/2;22
843;yes;улица Винокурова 35/3;16
844;residential;улица Винокурова 37;0
845;yes;улица Винокурова 38;20
846;house;улица Винокурова 39/5;7
847;house;улица Винокурова 45;13
848;yes;улица Винокурова 30;3
849;yes;улица Винокурова 32/1;18
850;yes;улица Винокурова 44985;16
851;yes;улица Винокурова 29;17
852;yes;улица Винокурова 33/2;27
853;yes;улица Винокурова 44956;6
854;house;улица Винокурова 53/1;25
855;yes;улица Винокурова 37/1;30
856;yes;улица Винокурова 44984;27
857;house;улица Винокурова 47;3
858;yes;улица Винокурова 37/2;26
859;house;улица Винокурова 41/5;7
860;house;улица Винокурова 41/1;16
861;house;улица Винокурова 39/1;11
862;house;улица Винокурова 44;26
863;house;улица Винокурова 43;8
864;yes;улица Винокурова 26;1
865;yes;улица Винокурова 42;9
866;house;улица Винокурова 39/3;8
867;house;улица Винокурова 41;20
868;house;улица Винокурова 55/1;11
869;house;улица Винокурова 63/1;11
870;house;улица Винокурова 65;15
871;house;улица Винокурова 67;25
872;house;улица Винокурова 59;10
873;house;улица Винокурова 71;7
874;house;улица Винокурова 69/1;19
875;house;улица Винокурова 63;19
876;house;улица Винокурова 57;9
877;house;улица Винокурова 61;22
878;house;улица Винокурова 76;15
879;house;улица Винокурова 79/1;14
880;house;улица Винокурова 91;4
881;house;улица Винокурова 83/2;20
882;house;улица Винокурова 85;9
883;house;улица Винокурова 79А;5
884;house;улица Винокурова 89;2
885;house;улица Винокурова 79/3;29
886;house;улица Винокурова 81А;8
887;house;улица Винокурова 77;17
888;house;улица Винокурова 75/5;19
889;house;улица Винокурова 89/2;0
890;house;улица Винокурова 78;2
891;house;улица Винокурова 75;15
892;house;улица Винокурова 79/7;26
893;house;улица Винокурова 79/4;11
894;house;улица Винокурова 82;5
895;house;улица Винокурова 83;22
896;house;улица Винокурова 83/1;18
897;yes;улица Винокурова 97;7
898;house;улица Винокурова 81;15
899;house;улица Винокурова 82/1;0
900;house;улица Винокурова 83/1а;5
901;house;улица Винокурова 89/3;13
902;house;улица Винокурова 95/3;1
903;yes;улица Винокурова 97/1;20
904;house;улица Винокурова 75/1;6
905;house;улица Винокурова 75/7;20
906;house;улица Винокурова 79;28
907;house;улица Винокурова 55;1
908;yes;улица Винокурова 55/1А;30
909;yes;улица Винокурова 32;19
910;yes;улица Винокурова 40;21
911;house;улица Винокурова 42/1;19
912;yes;улица Винокурова 35/4;10
913;yes;улица Гоголя 1;26
914;yes;улица Гоголя 6;29
915;apartments;улица Гоголя 52;13
916;yes;улица Гоголя 62А;1
917;yes;улица Гоголя 44932;8
918;house;улица Каландаришвили 35;28
919;yes;улица Каландаришвили 29;24
920;yes;улица Каландаришвили 31;19
921;house;улица Каландаришвили 41;24
922;yes;улица Каландаришвили 45А;20
923;house;улица Каландаришвили 37;9
924;yes;улица Каландаришвили 45Б;15
925;yes;улица Каландаришвили 31 к1;13
926;house;улица Каландаришвили 39;28
927;yes;улица Каландаришвили 45;10
928;house;улица Каландаришвили 33;21
929;yes;улица Каландаришвили 29;20
930;apartments;улица Каландаришвили 43;15
931;yes;улица Каландаришвили 31/2;11
932;yes;улица Каландаришвили 35/1;29
933;yes;улица Кеши Алексеева 6;24
934;apartments;улица Кеши Алексеева 14;2
935;apartments;улица Кеши Алексеева 8;12
936;residential;улица Кеши Алексеева 13;15
937;apartments;улица Кеши Алексеева 44936;1
938;apartments;улица Кеши Алексеева 4;21
939;residential;улица Кеши Алексеева 11;10
940;apartments;улица Кеши Алексеева 3;25
941;residential;улица Кеши Алексеева 9;11
942;residential;улица Кеши Алексеева 45029;12
943;apartments;улица Кеши Алексеева 10;7
944;yes;улица Кеши Алексеева 44931;4
945;apartments;улица Кеши Алексеева 6;11
946;apartments;улица Кеши Алексеева 1;7
947;residential;улица Кеши Алексеева 44998;12
948;apartments;улица Кеши Алексеева 12;23
949;apartments;улица Кеши Алексеева 2;21
950;apartments;улица Кеши Алексеева 44934;8
951;residential;улица Кеши Алексеева 44939;28
952;residential;улица Кеши Алексеева 44970;27
953;apartments;улица Кеши Алексеева 5;4
954;apartments;улица Кеши Алексеева 44963;2
955;yes;улица Кеши Алексеева 44929;29
956;yes;улица Кеши Алексеева 9В;14
957;yes;улица Кеши Алексеева 3 к1;14
958;house;улица Кочнева 53;14
959;yes;улица Кочнева 28;26
960;apartments;улица Кочнева 40;23
961;house;улица Кочнева 57;14
962;house;улица Кочнева 55;30
963;yes;улица Кочнева 30;13
964;yes;улица Кочнева 5;21
965;house;улица Кочнева 20;18
966;house;улица Кочнева 77;28
967;yes;улица Кочнева 37;13
968;house;улица Кочнева 79;0
969;house;улица Кочнева 86;14
970;house;улица Кочнева 29;9
971;house;улица Кочнева 71;11
972;house;улица Кочнева 64;27
973;house;улица Кочнева 84;26
974;yes;улица Кочнева 12;4
975;yes;улица Кочнева 36;30
976;house;улица Кочнева 22;5
977;house;улица Кочнева 51;23
978;house;улица Кочнева 59;13
979;house;улица Кочнева 46;1
980;yes;улица Кочнева 33;19
981;yes;улица Кочнева 10;15
982;house;улица Кочнева 66;11
983;yes;улица Кочнева 7;18
984;house;улица Кочнева 24;28
985;yes;улица Кочнева 34;12
986;house;улица Кочнева 48;4
987;house;улица Кочнева 23;5
988;house;улица Кочнева 49;19
989;house;улица Кочнева 81;20
990;yes;улица Кочнева 32;22
991;house;улица Кочнева 76;8
992;house;улица Кочнева 31;19
993;yes;улица Кочнева 2;17
994;house;улица Кочнева 68;20
995;house;улица Кочнева 74;15
996;yes;улица Кочнева 41;15
997;yes;улица Кочнева 9;15
998;house;улица Кочнева 63;3
999;house;улица Кочнева 70;20
1000;house;улица Кочнева 54;27
